filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point
xa.s15.00.mhz.1973-04-04HR00_evid00098,1,0 | 0,6057,0,0.8,1.0
xa.s15.00.mhz.1973-04-04HR00_evid00098,2,0 | 1,8236,0,0.8,1.0
xa.s15.00.mhz.1973-04-04HR00_evid00098,3,0 | 2,45190,0,0.8,1.0
xa.s15.00.mhz.1973-04-04HR00_evid00098,4,0 | 4,47073,0,0.8,1.0
xa.s15.00.mhz.1973-04-04HR00_evid00098,5,0 | 6,49985,0,0.8,1.0
xa.s15.00.mhz.1973-04-04HR00_evid00098,6,0 | 8,51242,0,0.8,1.0
xa.s15.00.mhz.1973-04-04HR00_evid00098,7,0 | 9,66461,0,0.8,1.0
xa.s15.00.mhz.1973-08-10HR00_evid00126,8,1 | 0,64758,0,0.8,1.0
xa.s15.00.mhz.1973-10-27HR00_evid00134,9,2 | 0,968,0,0.8,1.0
xa.s15.00.mhz.1973-10-27HR00_evid00134,10,2 | 1,40398,0,0.8,1.0
xa.s15.00.mhz.1974-10-19HR00_evid00157,11,3 | 0,70662,0,0.8,1.0
xa.s15.00.mhz.1974-11-17HR00_evid00162,12,4 | 0,911,0,0.8,1.0
xa.s15.00.mhz.1974-11-17HR00_evid00162,13,4 | 1,71649,0,0.8,1.0
