filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point
xa.s16.00.mhz.1973-08-25HR00_evid00443,1,0 | 0,9998,0,0.8,1.0
xa.s16.00.mhz.1973-08-25HR00_evid00443,2,0 | 1,29788,0,0.8,1.0
xa.s16.00.mhz.1973-08-25HR00_evid00443,3,0 | 2,30310,0,0.8,1.0
xa.s16.00.mhz.1973-12-18HR00_evid00487,4,1 | 1,1500,0,0.8,1.0
xa.s16.00.mhz.1973-12-18HR00_evid00487,5,1 | 2,3677,0,0.8,1.0
xa.s16.00.mhz.1973-12-18HR00_evid00487,6,1 | 8,55028,0,0.8,1.0
xa.s16.00.mhz.1973-12-18HR00_evid00487,7,1 | 9,76007,0,0.8,1.0
xa.s16.00.mhz.1974-11-14HR00_evid00587,8,2 | 0,900,0,0.8,1.0
xa.s16.00.mhz.1974-11-14HR00_evid00587,9,2 | 1,39654,0,0.8,1.0
xa.s16.00.mhz.1974-11-14HR00_evid00587,10,2 | 2,46698,0,0.8,1.0
xa.s16.00.mhz.1974-11-14HR00_evid00587,11,2 | 3,58469,0,0.8,1.0
xa.s16.00.mhz.1974-11-14HR00_evid00587,12,2 | 4,70755,0,0.8,1.0
xa.s16.00.mhz.1974-11-14HR00_evid00587,13,2 | 5,74411,0,0.8,1.0
