filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point,label
xa.s12.00.mhz.1970-01-19HR00_evid00002,1,0 | 0,36863,0,0.8,1,0
xa.s12.00.mhz.1970-01-19HR00_evid00002,2,0 | 1,73384,0,0.8,1,1
xa.s12.00.mhz.1970-03-25HR00_evid00003,3,1 | 0,12829,0,0.8,1,1
xa.s12.00.mhz.1970-03-26HR00_evid00004,4,2 | 0,73083,0,0.8,1,1
xa.s12.00.mhz.1970-04-25HR00_evid00006,5,3 | 0,908,0,0.8,1,0
xa.s12.00.mhz.1970-04-25HR00_evid00006,6,3 | 1,4571,0,0.8,1,1
xa.s12.00.mhz.1970-04-25HR00_evid00006,7,3 | 2,34895,0,0.8,1,0
xa.s12.00.mhz.1970-04-25HR00_evid00006,8,3 | 3,38385,0,0.8,1,0
xa.s12.00.mhz.1970-04-25HR00_evid00006,9,3 | 4,40305,0,0.8,1,0
xa.s12.00.mhz.1970-04-25HR00_evid00006,10,3 | 5,81524,0,0.8,1,0
xa.s12.00.mhz.1970-04-26HR00_evid00007,11,4 | 0,28634,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-26HR00_evid00007,12,4 | 1,52180,0,0.3,0.5,1
xa.s12.00.mhz.1970-04-26HR00_evid00007,13,4 | 2,68201,0,0.3,0.5,0
xa.s12.00.mhz.1970-04-26HR00_evid00007,14,4 | 3,70562,0,0.3,0.5,0
xa.s12.00.mhz.1970-06-15HR00_evid00008,15,5 | 0,68374,0,0.8,1,1
xa.s12.00.mhz.1970-06-26HR00_evid00009,16,6 | 0,72058,0,0.8,1,1
xa.s12.00.mhz.1970-07-20HR00_evid00010,17,7 | 0,18324,0,0.8,1,1
xa.s12.00.mhz.1970-07-20HR00_evid00010,18,7 | 1,23895,0,0.8,1,0
xa.s12.00.mhz.1970-07-20HR00_evid00010,19,7 | 2,40631,0,0.8,1,0
xa.s12.00.mhz.1970-07-20HR00_evid00010,20,7 | 3,42205,0,0.8,1,1
xa.s12.00.mhz.1970-07-20HR00_evid00011,21,8 | 0,18324,0,0.8,1,1
xa.s12.00.mhz.1970-07-20HR00_evid00011,22,8 | 1,23895,0,0.8,1,0
xa.s12.00.mhz.1970-07-20HR00_evid00011,23,8 | 2,40631,0,0.8,1,0
xa.s12.00.mhz.1970-07-20HR00_evid00011,24,8 | 3,42205,0,0.8,1,1
xa.s12.00.mhz.1970-09-26HR00_evid00013,25,9 | 0,1180,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,26,9 | 1,1710,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,27,9 | 2,10834,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,28,9 | 3,11894,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,29,9 | 4,14151,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,30,9 | 5,15793,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,31,9 | 6,18604,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,32,9 | 7,19746,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,33,9 | 8,20212,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,34,9 | 9,49137,0,0.8,1,0
xa.s12.00.mhz.1970-09-26HR00_evid00013,35,9 | 10,71943,0,0.8,1,1
xa.s12.00.mhz.1970-10-24HR00_evid00014,36,10 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,37,10 | 1,17335,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,38,10 | 2,21782,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,39,10 | 3,23905,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,40,10 | 4,28885,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,41,10 | 5,41460,0,0.8,1,1
xa.s12.00.mhz.1970-10-24HR00_evid00014,42,10 | 6,49501,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,43,10 | 7,53024,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,44,10 | 8,53470,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,45,10 | 9,55163,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,46,10 | 10,61759,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,47,10 | 11,63739,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,48,10 | 12,68158,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,49,10 | 13,69863,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,50,10 | 14,71782,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,51,10 | 15,72011,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,52,10 | 16,73347,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,53,10 | 17,79534,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,54,10 | 18,80127,0,0.8,1,0
xa.s12.00.mhz.1970-10-24HR00_evid00014,55,10 | 19,80587,0,0.8,1,0
xa.s12.00.mhz.1970-11-12HR00_evid00015,56,11 | 0,46354,0,0.8,1,1
xa.s12.00.mhz.1970-12-11HR00_evid00017,57,12 | 0,26572,0,0.8,1,1
xa.s12.00.mhz.1970-12-11HR00_evid00017,58,12 | 1,48644,0,0.8,1,0
xa.s12.00.mhz.1970-12-11HR00_evid00017,59,12 | 2,58705,0,0.8,1,0
xa.s12.00.mhz.1970-12-11HR00_evid00017,60,12 | 3,61270,0,0.8,1,0
xa.s12.00.mhz.1970-12-27HR00_evid00019,61,13 | 0,74054,0,0.8,1,1
xa.s12.00.mhz.1970-12-31HR00_evid00021,62,14 | 0,55781,0,0.3,0.5,0
xa.s12.00.mhz.1970-12-31HR00_evid00021,63,14 | 1,56700,0,0.3,0.5,1
xa.s12.00.mhz.1971-01-15HR00_evid00022,64,15 | 0,21098,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,65,15 | 1,24900,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,66,15 | 2,26029,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,67,15 | 3,31251,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,68,15 | 4,33745,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,69,15 | 5,44489,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,70,15 | 6,45677,0,0.8,1,1
xa.s12.00.mhz.1971-01-15HR00_evid00022,71,15 | 7,54649,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,72,15 | 8,57909,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,73,15 | 9,68516,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,74,15 | 10,78816,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,75,15 | 11,80616,0,0.8,1,0
xa.s12.00.mhz.1971-01-15HR00_evid00022,76,15 | 12,82794,0,0.8,1,0
xa.s12.00.mhz.1971-01-28HR00_evid00023,77,16 | 0,900,0,0.2,0.4,0
xa.s12.00.mhz.1971-01-28HR00_evid00023,78,16 | 1,42977,0,0.2,0.4,1
xa.s12.00.mhz.1971-01-28HR00_evid00023,79,16 | 2,53966,0,0.2,0.4,0
xa.s12.00.mhz.1971-01-28HR00_evid00023,80,16 | 3,63320,0,0.2,0.4,0
xa.s12.00.mhz.1971-01-29HR00_evid00024,81,17 | 0,55922,0,0.8,1,0
xa.s12.00.mhz.1971-01-29HR00_evid00024,82,17 | 1,66176,0,0.8,1,1
xa.s12.00.mhz.1971-02-09HR00_evid00026,83,18 | 0,900,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,84,18 | 1,13430,0,0.8,1,1
xa.s12.00.mhz.1971-02-09HR00_evid00026,85,18 | 2,33324,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,86,18 | 3,37333,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,87,18 | 4,37566,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,88,18 | 5,45146,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,89,18 | 6,46608,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,90,18 | 7,51604,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,91,18 | 8,54265,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,92,18 | 9,57042,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,93,18 | 10,59744,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,94,18 | 11,61218,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,95,18 | 12,62402,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,96,18 | 13,67516,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,97,18 | 14,67999,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,98,18 | 15,69966,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,99,18 | 16,71780,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,100,18 | 17,73614,0,0.8,1,0
xa.s12.00.mhz.1971-02-09HR00_evid00026,101,18 | 18,74946,0,0.8,1,0
xa.s12.00.mhz.1971-03-25HR00_evid00028,102,19 | 0,900,0,0.7,0.9,0
xa.s12.00.mhz.1971-03-25HR00_evid00028,103,19 | 1,55151,0,0.7,0.9,1
xa.s12.00.mhz.1971-04-13HR02_evid00029,104,20 | 0,36777,0,0.3,0.5,1
