filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point
xa.s16.00.mhz.1972-09-10HR00_evid00075,1,0 | 0,46802,0,0.8,1.0
xa.s16.00.mhz.1972-09-10HR00_evid00075,2,0 | 1,64154,0,0.8,1.0
xa.s16.00.mhz.1972-11-06HR00_evid00079,3,1 | 0,900,0,0.8,1.0
xa.s16.00.mhz.1972-11-06HR00_evid00079,4,1 | 1,15848,0,0.8,1.0
xa.s16.00.mhz.1972-11-08HR00_evid00080,5,2 | 0,67360,0,0.8,1.0
xa.s16.00.mhz.1972-11-14HR00_evid00081,6,3 | 5,28028,0,0.3,0.5
xa.s16.00.mhz.1972-11-14HR00_evid00081,7,3 | 7,44432,0,0.3,0.5
xa.s16.00.mhz.1972-11-14HR00_evid00081,8,3 | 9,54977,0,0.3,0.5
xa.s16.00.mhz.1972-11-14HR00_evid00081,9,3 | 11,63445,0,0.3,0.5
xa.s16.00.mhz.1972-11-14HR00_evid00081,10,3 | 14,81359,0,0.3,0.5
xa.s16.00.mhz.1973-07-31HR00_evid00123,11,4 | 1,2353,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,12,4 | 2,4973,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,13,4 | 3,7243,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,14,4 | 6,16255,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,15,4 | 8,22738,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,16,4 | 9,25131,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,17,4 | 13,35642,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,18,4 | 14,39814,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,19,4 | 15,44329,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,20,4 | 16,45807,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,21,4 | 19,71901,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,22,4 | 20,73089,0,0.8,1.0
xa.s16.00.mhz.1973-07-31HR00_evid00123,23,4 | 21,78863,0,0.8,1.0
