filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point,label
xa.s12.00.mhz.1969-12-16HR00_evid00006,1,0 | 0,1052,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,2,0 | 1,1558,0,0.8,1,1
xa.s12.00.mhz.1969-12-16HR00_evid00006,3,0 | 2,5270,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,4,0 | 3,10030,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,5,0 | 4,17967,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,6,0 | 5,18443,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,7,0 | 6,20528,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,8,0 | 7,21308,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,9,0 | 8,23489,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,10,0 | 9,35646,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,11,0 | 10,36197,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,12,0 | 11,36453,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,13,0 | 12,36910,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,14,0 | 13,37591,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,15,0 | 14,38314,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,16,0 | 15,38818,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,17,0 | 16,47580,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,18,0 | 17,49108,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,19,0 | 18,49526,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,20,0 | 19,51560,0,0.8,1,0
xa.s12.00.mhz.1969-12-16HR00_evid00006,21,0 | 20,52698,0,0.8,1,0
